Epoch,Train Metric,Validation Metric
1,0.9458474355636552,0.9289176090468497
2,0.9746913580246913,0.9417114510128152
3,0.9808422353668227,0.9551550712489523
4,0.9897986339040185,0.9504409911801764
5,0.9884843653113651,0.9368290668868704
6,0.9918396310094022,0.9501246882793017
